"","playerID","yearID","teamID.x","lgID.x","AB","H","HR","nameFirst","nameLast","nameGiven","salary","HperAB","HRperH","recordID","count","playerCount"
"7","abbotku01",1993,"OAK","AL",61,15,3,"Kurt","Abbott","Kurt Thomas",109000,0.245901639344262,0.2,7,1,8
"8","abbotku01",1994,"FLO","NL",345,86,9,"Kurt","Abbott","Kurt Thomas",109000,0.249275362318841,0.104651162790698,8,1,8
"9","abbotku01",1995,"FLO","NL",420,107,17,"Kurt","Abbott","Kurt Thomas",119000,0.254761904761905,0.158878504672897,9,1,8
"10","abbotku01",1996,"FLO","NL",320,81,8,"Kurt","Abbott","Kurt Thomas",250000,0.253125,0.0987654320987654,10,1,8
"11","abbotku01",1997,"FLO","NL",252,69,6,"Kurt","Abbott","Kurt Thomas",650000,0.273809523809524,0.0869565217391304,11,1,8
"12","abbotku01",1999,"COL","NL",286,78,8,"Kurt","Abbott","Kurt Thomas",9e+05,0.272727272727273,0.102564102564103,14,1,8
"13","abbotku01",2000,"NYN","NL",157,34,6,"Kurt","Abbott","Kurt Thomas",5e+05,0.21656050955414,0.176470588235294,15,1,8
"14","abbotku01",2001,"ATL","NL",9,2,0,"Kurt","Abbott","Kurt Thomas",6e+05,0.222222222222222,0,16,1,8
"27","abreubo01",1997,"HOU","NL",188,47,3,"Bobby","Abreu","Bob Kelly",150000,0.25,0.0638297872340425,31,1,14
"28","abreubo01",1998,"PHI","NL",497,155,17,"Bobby","Abreu","Bob Kelly",180000,0.311871227364185,0.109677419354839,32,1,14
"29","abreubo01",1999,"PHI","NL",546,183,20,"Bobby","Abreu","Bob Kelly",4e+05,0.335164835164835,0.109289617486339,33,1,14
"30","abreubo01",2000,"PHI","NL",576,182,25,"Bobby","Abreu","Bob Kelly",2933333,0.315972222222222,0.137362637362637,34,1,14
"31","abreubo01",2001,"PHI","NL",588,170,31,"Bobby","Abreu","Bob Kelly",4983000,0.289115646258503,0.182352941176471,35,1,14
"32","abreubo01",2002,"PHI","NL",572,176,20,"Bobby","Abreu","Bob Kelly",6333333,0.307692307692308,0.113636363636364,36,1,14
"33","abreubo01",2003,"PHI","NL",577,173,20,"Bobby","Abreu","Bob Kelly",9100000,0.299826689774697,0.115606936416185,37,1,14
"34","abreubo01",2004,"PHI","NL",574,173,30,"Bobby","Abreu","Bob Kelly",10600000,0.301393728222997,0.173410404624277,38,1,14
"35","abreubo01",2005,"PHI","NL",588,168,24,"Bobby","Abreu","Bob Kelly",13100000,0.285714285714286,0.142857142857143,39,1,14
"36","abreubo01",2007,"NYA","AL",605,171,16,"Bobby","Abreu","Bob Kelly",1.5e+07,0.282644628099174,0.0935672514619883,42,1,14
"37","abreubo01",2008,"NYA","AL",609,180,20,"Bobby","Abreu","Bob Kelly",1.6e+07,0.295566502463054,0.111111111111111,43,1,14
"38","abreubo01",2009,"LAA","AL",563,165,15,"Bobby","Abreu","Bob Kelly",5e+06,0.293072824156306,0.0909090909090909,44,1,14
"39","abreubo01",2010,"LAA","AL",573,146,20,"Bobby","Abreu","Bob Kelly",9e+06,0.254799301919721,0.136986301369863,45,1,14
"40","abreubo01",2011,"LAA","AL",502,127,8,"Bobby","Abreu","Bob Kelly",9e+06,0.252988047808765,0.062992125984252,46,1,14
"99","aldremi01",1986,"SFN","NL",216,54,2,"Mike","Aldrete","Michael Peter",60000,0.25,0.037037037037037,113,1,8
"100","aldremi01",1987,"SFN","NL",357,116,9,"Mike","Aldrete","Michael Peter",75000,0.324929971988796,0.0775862068965517,114,1,8
